id,name,description,price,isvegetarian,isspicy,category
48,Mysore Bonda,"Deep-fried, soft flour balls. Traditional South Indian breakfast snack with a crispy exterior.",$8.99,TRUE,FALSE,Breakfast
49,Chicken 65,"Crispy, spicy deep-fried chicken pieces. Popular Indo-Chinese appetizer with bold, tangy flavors.",$9.99,FALSE,TRUE,Chinese Non-Veg
50,Chilli Chicken,"Boneless chicken in a spicy, soy-based sauce. Quintessential Indo-Chinese dish with a fiery kick.",$10.99,FALSE,TRUE,Chinese Non-Veg
51,Chicken Manchurian,"Batter-fried chicken in a savory, slightly sweet sauce. Classic Indo-Chinese preparation with complex flavors.",$10.99,FALSE,FALSE,Chinese Non-Veg
52,Egg Fried Rice/Noodles,"Wok-tossed rice or noodles with scrambled eggs. Quick, satisfying dish with a perfect balance of textures.",$10.99,FALSE,FALSE,Chinese Non-Veg
53,Schezwan Egg Fried Rice/Noodles,"Spicy Schezwan-style egg fried rice or noodles. Fiery preparation with a distinctive, tangy flavor profile.",$11.99,FALSE,TRUE,Chinese Non-Veg
54,Chicken Fried Rice/Noodles,Chicken-studded fried rice or noodles. Flavorful one-pot meal with a perfect blend of ingredients.,$11.99,FALSE,FALSE,Chinese Non-Veg
55,Schezwan Chicken Rice/Noodles,"Spicy Schezwan-style chicken fried rice or noodles. Bold, hot preparation with deep, complex flavors.",$12.99,FALSE,TRUE,Chinese Non-Veg
56,Babycorn Manchurian,"Crispy babycorn in a tangy, spicy sauce. Indo-Chinese vegetarian appetizer with complex flavors.",$9.99,TRUE,TRUE,Chinese Veg
57,Chilli Paneer,"Crispy paneer in a spicy, tangy sauce. Popular Indo-Chinese vegetarian dish with bold flavors.",$9.99,TRUE,TRUE,Chinese Veg
58,Gobi 65,"Crispy, spicy cauliflower fritters. Vegetarian take on the popular Chicken 65 preparation.",$9.99,TRUE,TRUE,Chinese Veg
59,Paneer Manchurian,"Paneer cubes in a savory, slightly sweet sauce. Vegetarian version of the classic Manchurian.",$9.99,TRUE,FALSE,Chinese Veg
60,Veg Fried Rice/Noodles,Mixed vegetable fried rice or noodles. Flavorful one-pot meal with assorted vegetables.,$9.99,TRUE,FALSE,Chinese Veg
61,Schezwan Veg Rice/Noodles,Spicy Schezwan-style vegetable fried rice or noodles. Hot and flavorful vegetarian preparation.,$10.99,TRUE,TRUE,Chinese Veg
62,Lassi,"Traditional yoghurt-based drink with a cool, smooth texture. Refreshingly sweet classic Indian beverage.",$3.99,TRUE,FALSE,Drinks
63,Mango Lassi,"Creamy yogurt drink with ripe mango pulp. Refreshing, sweet beverage perfect for cooling down.",$3.99,TRUE,FALSE,Drinks
64,Thums Up,Popular Indian cola with a distinctive strong flavor. Iconic carbonated soft drink with a loyal following.,$2.49,TRUE,FALSE,Drinks
65,Limca,"Citrusy Indian lemon-lime carbonated beverage. Refreshing, tangy drink with a unique flavor profile.",$2.49,TRUE,FALSE,Drinks
66,Frooti,Popular Mango drink,$1.49,TRUE,FALSE,Drinks
67,Coca Cola,Classic international cola drink. Globally recognized carbonated beverage with a signature taste.,$1.99,TRUE,FALSE,Drinks
68,Double Ka Meetha,"Traditional Hyderabadi bread pudding dessert. Rich, sweet preparation made with fried bread soaked in cardamom-infused sugar syrup.",$6.99,TRUE,FALSE,Sweets
69,Sheer Khurma,"Sweet vermicelli pudding with raisins, and almonds in a creamy milk base.",$6.99,TRUE,FALSE,Sweets
70,Gulab Jamun,"Traditional Indian sweet milk-solid dessert in sugar syrup. Rich, soft, and decadent sweet treat.",$5.99,TRUE,FALSE,Sweets
